Batch    Start      Star     Roll   Sec/   EM      Num
 ID      Hours       ID      Deg   Frame  Gain    Frames
    0  170.000000     2       0.0   14.0  5000.0    184
  100  171.350000     1      13.0   10.0  5000.0     78
  101  173.350000     1     -13.0   10.0  5000.0     78
  102  175.350000     1      13.0   10.0  5000.0     78
  103  177.350000     1     -13.0   10.0  5000.0     78
    1  179.600000     2       0.0   10.0  5000.0    159
  104  180.850000     1     -13.0   10.0  5000.0     78
  105  182.850000     1      13.0   10.0  5000.0     78
  106  184.850000     1     -13.0   10.0  5000.0     78
  107  186.850000     1      13.0   10.0  5000.0     78
    2  189.100000     2       0.0   14.0  5000.0    159
    3  194.000000     2       0.0   14.0  5000.0    184
  108  195.350000     1      13.0   10.0  5000.0     78
  109  197.350000     1     -13.0   10.0  5000.0     78
  110  199.350000     1      13.0   10.0  5000.0     78
  111  201.350000     1     -13.0   10.0  5000.0     78
    4  203.600000     2       0.0   10.0  5000.0    159
  112  204.850000     1     -13.0   10.0  5000.0     78
  113  206.850000     1      13.0   10.0  5000.0     78
  114  208.850000     1     -13.0   10.0  5000.0     78
  115  210.850000     1      13.0   10.0  5000.0     78
    5  213.100000     2       0.0   14.0  5000.0    159
